Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-1.412171E-06,1010.60,0,83.3, -,8.770906
0.05,8.207794,1010.30,7.809524,83.3, -,8.770906
0.10,16.41756,1010.00,15.61905,83.3, -,8.770906
0.15,24.62931,1009.70,23.42857,83.3, -,8.770906
0.20,35.58249,1009.30,33.85714,83.3, -,8.770906
0.25,41.06039,1009.10,39.09524,83.3, -,8.770906
0.30,52.01718,1008.70,49.52381,83.3, -,8.770906
0.35,60.23749,1008.40,57.33333,83.3, -,8.770906
0.40,71.2021,1008.00,67.7619,83.3, -,8.770906
0.45,82.17024,1007.60,78.19048,83.3, -,8.770906
0.50,90.39783,1007.30,86.04762,83.3, -,8.770906
0.55,98.62739,1007.00,93.90476,83.12, -,8.770906
0.60,115.0925,1006.40,109.5714,83.12, -,8.770906
0.65,126.0747,1006.00,120.0476,83.12, -,8.770906
0.70,134.3129,1005.70,127.9048,83.12, -,8.770906
0.75,148.0482,1005.20,141,83.12, -,8.770906
0.80,167.2872,1004.50,159.3333,83.12, -,8.770906
0.85,178.2863,1004.10,169.8095,83.12, -,8.770906
0.90,189.2872,1003.70,180.2857,83.12, -,8.770906
0.95,203.0447,1003.20,193.381,83.12, -,8.770906
1.00,225.0678,1002.40,214.3333,83.12, -,8.770906
1.05,236.0855,1002.00,224.8095,83.12, -,8.770906
1.10,252.6171,1001.40,232.7619,83.12, -,8.770906
1.15,269.1584,1000.80,240.7143,83.12, -,8.770906
1.20,288.4659,1000.10,251.2857,83.12, -,8.770906
1.25,305.023,999.50,256.619,83.12, -,8.770906
1.30,324.3508,998.80,269.8095,83.12, -,8.770906
1.35,343.6896,998.10,277.8095,83.12, -,8.770906
1.40,365.8039,997.30,291.0476,83.12, -,8.770906
1.45,385.1662,996.60,299.0476,83.12, -,8.770906
1.50,410.0754,995.70,312.3333,82.94, -,8.770906
1.55,429.463,995.00,322.9524,82.94, -,8.770906
1.60,448.8616,994.30,333.5714,82.94, -,8.770906
1.65,468.2713,993.60,336.381,82.94, -,8.770906
1.70,490.4666,992.80,347.0476,82.94, -,8.770906
1.75,509.9001,992.10,357.7143,82.94, -,8.770906
1.80,532.1226,991.30,365.7619,82.94, -,8.770906
1.85,557.1396,990.40,371.2381,82.94, -,8.770906
1.90,579.3947,989.60,381.9524,82.94, -,8.770906
1.95,601.6627,988.80,392.6667,82.94, -,8.770906
2.00,626.7309,987.90,403.4286,82.94, -,8.770906
2.05,651.8194,987.00,406.381,82.94, -,8.770906
2.10,679.7164,986.00,422.4762,82.94, -,8.770906
2.15,704.8441,985.10,430.6667,82.94, -,8.770906
2.20,735.5793,984.00,444.1905,82.94, -,8.770906
2.25,757.95,983.20,447.0952,82.94, -,8.770906
2.30,785.9343,982.20,458,82.94, -,8.770906
2.35,811.1406,981.30,463.5714,82.94, -,8.770906
2.40,836.364,980.40,469.1429,82.94, -,8.770906
2.45,861.6078,979.50,472.1429,82.94, -,8.770906
2.50,892.4854,978.40,483.1429,82.94, -,8.770906
2.55,917.7711,977.50,483.5238,82.94, -,8.770906
2.60,940.262,976.70,486.4762,82.94, -,8.770906
2.65,962.7679,975.90,489.4286,82.94, -,8.770906
2.70,985.2905,975.10,492.381,82.94, -,8.770906
2.75,1010.644,974.20,495.381,82.94, -,8.770906
2.80,1030.377,973.50,495.6667,82.94, -,8.770906
2.85,1044.479,973.00,487.9524,82.94, -,8.770906
2.90,1069.879,972.10,488.3333,82.94, -,8.770906
2.95,1092.471,971.30,488.6667,82.94, -,8.770906
3.00,1115.078,970.50,489,82.94, -,8.770906
3.05,1140.53,969.60,489.381,82.94, -,8.770906
3.10,1160.338,968.90,484.3333,82.94, -,8.770906
3.15,1180.158,968.20,476.619,82.94, -,8.770906
3.20,1202.824,967.40,474.2381,82.94, -,8.770906
3.25,1222.67,966.70,463.8571,82.94, -,8.770906
3.30,1245.364,965.90,464.1905,82.94, -,8.770906
3.35,1270.915,965.00,461.8571,82.94, -,8.770906
3.40,1296.484,964.10,462.1905,82.94, -,8.770906
3.45,1313.54,963.50,454.4286,82.94, -,8.770906
3.50,1327.761,963.00,443.9048,82.76, -,8.770906
3.55,1347.68,962.30,433.4286,82.76, -,8.770906
3.60,1373.306,961.40,433.7619,82.76, -,8.770906
3.65,1393.252,960.70,431.3333,82.76, -,8.770906
3.70,1413.21,960.00,428.9048,82.76, -,8.770906
3.75,1430.325,959.40,423.7619,82.76, -,8.770906
3.80,1456.015,958.50,424.0952,82.76, -,8.770906
3.85,1473.152,957.90,421.619,82.76, -,8.770906
3.90,1493.157,957.20,427.2381,82.76, -,8.770906
3.95,1516.034,956.40,424.8571,82.76, -,8.770906
4.00,1536.064,955.70,422.4286,82.76, -,8.770906
4.05,1556.106,955.00,420,82.76, -,8.770906
4.10,1581.893,954.10,420.3333,82.76, -,8.770906
4.15,1601.96,953.40,420.5714,82.76, -,8.770906
4.20,1622.042,952.70,420.8571,82.76, -,8.770906
4.25,1639.265,952.10,415.6667,82.76, -,8.770906
4.30,1659.367,951.40,415.9048,82.76, -,8.770906
4.35,1679.482,950.70,413.4286,82.76, -,8.770906
4.40,1702.485,949.90,411,82.76, -,8.770906
4.45,1722.627,949.20,405.8571,82.76, -,8.770906
4.50,1739.901,948.60,406.0476,82.76, -,8.770906
4.55,1757.183,948.00,409,82.58, -,8.770906
4.60,1777.357,947.30,409.2381,82.58, -,8.770906
4.65,1794.657,946.70,401.2857,82.58, -,8.770906
4.70,1809.082,946.20,396,82.58, -,8.770906
4.75,1826.401,945.60,393.4762,82.58, -,8.770906
4.80,1858.172,944.50,407.4286,82.58, -,8.770906
4.85,1875.514,943.90,399.4762,82.58, -,8.770906
4.90,1889.973,943.40,396.9048,82.58, -,8.770906
4.95,1910.227,942.70,397.1429,82.58, -,8.770906
5.00,1933.388,941.90,397.381,82.58, -,8.770906
5.05,1950.771,941.30,394.8571,82.58, -,8.770906
5.10,1968.161,940.70,392.3333,82.58, -,8.770906
5.15,1982.66,940.20,381.5714,82.58, -,8.770906
5.20,1997.165,939.70,376.2857,82.58, -,8.770906
5.25,2014.581,939.10,373.7143,82.58, -,8.770906
5.30,2032.004,938.50,373.9048,82.58, -,8.770906
5.35,2049.436,937.90,371.381,82.58, -,8.770906
5.40,2069.785,937.20,371.619,82.58, -,8.770906
5.45,2084.328,936.70,363.5714,82.58, -,8.770906
5.50,2104.699,936.00,363.7619,82.58, -,8.770906
5.55,2122.169,935.40,363.9524,82.58, -,8.770906
5.60,2142.563,934.70,366.9048,82.58, -,8.770906
5.65,2157.137,934.20,361.5714,82.58, -,8.770906
5.70,2177.552,933.50,364.5238,82.58, -,8.770906
5.75,2195.06,932.90,367.4762,82.58, -,8.770906
5.80,2215.498,932.20,370.4762,82.58, -,8.770906
5.85,2233.027,931.60,356.9524,82.58, -,8.770906
5.90,2247.641,931.10,354.3333,82.58, -,8.770906
5.95,2265.185,930.50,357.2857,82.58, -,8.770906
6.00,2279.812,930.00,351.9524,82.58, -,8.770906
6.05,2297.373,929.40,346.619,82.58, -,8.770906
6.10,2314.945,928.80,346.7619,82.58, -,8.770906
6.15,2332.524,928.20,346.9524,82.58, -,8.770906
6.20,2350.115,927.60,349.9048,82.58, -,8.770906
6.25,2364.779,927.10,350.0476,82.58, -,8.770906
6.30,2382.384,926.50,350.2381,82.58, -,8.770906
6.35,2397.063,926.00,347.6667,82.58, -,8.770906
6.40,2411.748,925.50,345.0476,82.58, -,8.770906
6.45,2426.44,925.00,339.6667,82.58, -,8.770906
6.50,2441.138,924.50,339.8095,82.58, -,8.770906
6.55,2458.783,923.90,337.2381,82.4, -,8.770906
6.60,2473.496,923.40,334.619,82.4, -,8.770906
6.65,2488.214,922.90,329.1905,82.4, -,8.770906
6.70,2502.939,922.40,329.381,82.4, -,8.770906
6.75,2514.725,922.00,321.1905,82.4, -,8.770906
6.80,2535.358,921.30,324.1905,82.4, -,8.770906
6.85,2550.104,920.80,318.7619,82.4, -,8.770906
6.90,2567.807,920.20,318.9048,82.4, -,8.770906
6.95,2582.567,919.70,319.0476,82.4, -,8.770906
7.00,2600.289,919.10,319.1905,82.4, -,8.770906
7.05,2615.063,918.60,319.2857,82.4, -,8.770906
7.10,2629.844,918.10,316.6667,82.4, -,8.770906
7.15,2641.673,917.70,311.2381,82.4, -,8.770906
7.20,2656.465,917.20,308.5714,82.4, -,8.770906
7.25,2671.265,916.70,305.9048,82.4, -,8.770906
7.30,2686.07,916.20,306.0476,82.4, -,8.770906
7.35,2700.883,915.70,303.381,82.4, -,8.770906
7.40,2715.701,915.20,303.4762,82.4, -,8.770906
7.45,2730.527,914.70,303.619,82.4, -,8.770906
7.50,2742.393,914.30,300.9048,82.4, -,8.770906
7.55,2757.23,913.80,301.0476,82.4, -,8.770906
7.60,2772.073,913.30,298.381,82.4, -,8.770906
7.65,2786.924,912.80,298.5238,82.4, -,8.770906
7.70,2801.781,912.30,298.6667,82.4, -,8.770906
7.75,2816.644,911.80,298.7619,82.4, -,8.770906
7.80,2831.514,911.30,301.6667,82.4, -,8.770906
7.85,2843.414,910.90,293.3333,82.4, -,8.770906
7.90,2858.296,910.40,293.4762,82.4, -,8.770906
7.95,2870.208,910.00,287.9524,82.4, -,8.770906
8.00,2882.123,909.60,285.2381,82.4, -,8.770906
8.05,2894.041,909.20,279.7143,82.4, -,8.770906
8.10,2911.928,908.60,282.7143,82.4, -,8.770906
8.15,2923.856,908.20,280,82.4, -,8.770906
8.20,2938.774,907.70,282.9048,82.4, -,8.770906
8.25,2953.699,907.20,283,82.4, -,8.770906
8.30,2965.644,906.80,280.2857,82.4, -,8.770906
8.35,2977.592,906.40,277.5714,82.4, -,8.770906
8.40,2989.545,906.00,274.8571,82.4, -,8.770906
8.45,3001.503,905.60,272.1429,82.4, -,8.770906
8.50,3010.473,905.30,266.5238,82.4, -,8.770906
8.55,3022.437,904.90,266.619,82.4, -,8.770906
8.60,3034.407,904.50,263.8571,82.4, -,8.770906
