UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Jun 11 2025 19:09:12.599 UTC,1749686952.599,2923.9,31.04447,-103.53532,18,3,0,0,-55,3,0,10,7,-61,4.12,0.9,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:12.699 UTC,1749686952.699,2923.9,31.04447,-103.53532,18,3,0,0,-146,3,0,10,7,-50,4.12,0.9,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:12.799 UTC,1749686952.799,2923.9,31.04447,-103.53532,18,3,0,0,-21,3,0,10,7,-50,4.12,0.9,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:12.899 UTC,1749686952.899,2923.9,31.04447,-103.53532,18,3,0,0,-151,3,0,10,7,-50,4.119,0.9,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:13.000 UTC,1749686953.0,2923.9,31.04447,-103.53532,18,3,0,0,132,3,0,10,7,-50,4.119,0.9,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:13.099 UTC,1749686953.099,2924.0,31.04447,-103.53532,18,3,0,0,-100,3,0,10,7,-50,4.119,1.0,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:13.199 UTC,1749686953.199,2924.0,31.04447,-103.53532,18,3,0,0,-41,3,0,10,7,-50,4.119,1.0,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:13.299 UTC,1749686953.299,2924.0,31.04447,-103.53532,18,3,0,0,42,3,0,10,7,-50,4.119,1.0,FALSE,FALSE,FALSE,0.4410
Jun 11 2025 19:09:13.399 UTC,1749686953.399,2924.0,31.04445,-103.53532,18,3,0,0,-166,3,0,10,7,-50,4.119,1.0,FALSE,FALSE,FALSE,3.7677
Jun 11 2025 19:09:13.499 UTC,1749686953.499,2924.0,31.04447,-103.53532,18,3,0,0,-35,3,0,10,7,-50,4.119,1.0,FALSE,FALSE,FALSE,0.4410
