Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,9.377058E-05,913.30,0,108.5, -,9.354337
0.05,8.909155,913.00,8.476191,108.5, -,9.354337
0.10,17.82059,912.70,16.95238,108.5, -,9.354337
0.15,35.65238,912.10,33.95238,108.5, -,9.354337
0.20,47.54371,911.70,45.28571,108.5, -,9.354337
0.25,62.41517,911.20,59.42857,108.5, -,9.354337
0.30,77.29324,910.70,73.61905,108.5, -,9.354337
0.35,89.20119,910.30,84.95238,108.5, -,9.354337
0.40,107.0692,909.70,101.9524,108.5, -,9.354337
0.45,124.9486,909.10,119,108.5, -,9.354337
0.50,133.891,908.80,127.5238,108.5, -,9.354337
0.55,139.8545,908.60,133.1905,108.5, -,9.354337
0.60,145.8173,908.40,138.8571,108.5, -,9.354337
0.65,148.8009,908.30,141.7143,108.5, -,9.354337
0.70,154.7671,908.10,147.381,108.5, -,9.354337
0.75,166.7008,907.70,158.7619,108.5, -,9.354337
0.80,184.6121,907.10,175.8095,108.5, -,9.354337
0.85,199.5446,906.60,190.0476,108.5, -,9.354337
0.90,223.4502,905.80,212.8095,108.5, -,9.354337
0.95,244.3822,905.10,232.7619,108.5, -,9.354337
1.00,265.3256,904.40,252.7143,108.5, -,9.354337
1.05,286.2839,903.70,272.6667,108.5, -,9.354337
1.10,307.2553,903.00,284.1429,108.5, -,9.354337
1.15,328.2399,902.30,295.6667,108.5, -,9.354337
1.20,349.2377,901.60,298.6667,108.5, -,9.354337
1.25,385.2626,900.40,321.619,108.5, -,9.354337
1.30,418.322,899.30,338.9524,108.5, -,9.354337
1.35,433.3593,898.80,339.0952,108.5, -,9.354337
1.40,460.4425,897.90,353.5714,108.5, -,9.354337
1.45,481.5236,897.20,356.6667,108.5, -,9.354337
1.50,505.6318,896.40,362.5714,108.32, -,9.334889
1.55,523.7258,895.80,371.2857,108.32, -,9.334889
1.60,550.8824,894.90,391.4762,108.32, -,9.334889
1.65,584.1063,893.80,417.4286,108.32, -,9.334889
1.70,614.3376,892.80,443.381,108.32, -,9.334889
1.75,644.5964,891.80,466.5238,108.32, -,9.334889
1.80,677.912,890.70,486.8571,108.32, -,9.334889
1.85,702.1627,889.90,492.9048,108.32, -,9.334889
1.90,744.6452,888.50,519.1429,108.32, -,9.334889
1.95,781.1017,887.30,531.0952,108.32, -,9.334889
2.00,808.4689,886.40,537.1905,108.32, -,9.334889
2.05,838.9045,885.40,546.2381,108.32, -,9.334889
2.10,872.4169,884.30,558.1905,108.32, -,9.334889
2.15,909.0137,883.10,573.0952,108.32, -,9.334889
2.20,942.595,882.00,585.0952,108.32, -,9.334889
2.25,973.1536,881.00,594.1905,108.32, -,9.334889
2.30,1009.861,879.80,594.8571,108.32, -,9.334889
2.35,1034.355,879.00,586.7143,108.32, -,9.334889
2.40,1080.33,877.50,616.1905,108.32, -,9.334889
2.45,1117.157,876.30,625.4762,108.32, -,9.334889
2.50,1154.024,875.10,640.4762,108.32, -,9.334889
2.55,1190.93,873.90,652.6667,108.32, -,9.334889
2.60,1227.879,872.70,670.619,108.32, -,9.334889
2.65,1267.953,871.40,682.9048,108.32, -,9.334889
2.70,1298.813,870.40,680.6667,108.32, -,9.334889
2.75,1335.882,869.20,687.1429,108.32, -,9.334889
2.80,1376.087,867.90,696.619,108.32, -,9.334889
2.85,1407.047,866.90,694.381,108.32, -,9.334889
2.90,1453.542,865.40,715.5714,108.32, -,9.334889
2.95,1484.574,864.40,704.6667,108.32, -,9.334889
3.00,1524.962,863.10,708.4286,108.32, -,9.334889
3.05,1571.622,861.60,726.8095,108.32, -,9.334889
3.10,1621.465,860.00,745.2857,108.32, -,9.334889
3.15,1674.506,858.30,763.9048,108.32, -,9.334889
3.20,1718.25,856.90,770.7143,108.32, -,9.334889
3.25,1765.184,855.40,783.4286,108.32, -,9.334889
3.30,1805.915,854.10,793.1429,108.32, -,9.334889
3.35,1840.417,853.00,791.0476,108.32, -,9.334889
3.40,1906.386,850.90,830.5238,108.32, -,9.334889
3.45,1950.44,849.50,828.6667,108.32, -,9.334889
3.50,1988.247,848.30,829.5714,108.32, -,9.334889
3.55,2038.722,846.70,842.5714,108.32, -,9.334889
3.60,2089.276,845.10,855.5714,108.32, -,9.334889
3.65,2149.408,843.20,877.6667,108.32, -,9.334889
3.70,2187.444,842.00,875.7619,108.32, -,9.334889
3.75,2235.05,840.50,891.7143,108.32, -,9.334889
3.80,2295.45,838.60,913.9524,108.32, -,9.334889
3.85,2333.652,837.40,912.0476,108.32, -,9.334889
3.90,2407.002,835.10,952.4286,108.32, -,9.334889
3.95,2451.729,833.70,950.7619,108.32, -,9.334889
4.00,2490.115,832.50,957.7619,108.32, -,9.334889
4.05,2534.956,831.10,962,108.32, -,9.334889
4.10,2592.698,829.30,972.5714,108.32, -,9.334889
4.15,2637.677,827.90,967.9524,108.32, -,9.334889
4.20,2669.843,826.90,948.0476,108.32, -,9.334889
4.25,2705.264,825.80,940.0952,108.32, -,9.334889
4.30,2769.762,823.80,956.8095,108.32, -,9.334889
4.35,2805.289,822.70,951.8571,108.32, -,9.334889
4.40,2850.562,821.30,962.0952,108.32, -,9.334889
4.45,2895.896,819.90,942.4762,108.32, -,9.334889
4.50,2947.786,818.30,949.9524,108.32, -,9.334889
4.55,2993.255,816.90,957.2381,108.32, -,9.373784
4.60,3035.535,815.60,949.4286,108.32, -,9.373784
4.65,3071.351,814.50,935.381,108.32, -,9.373784
4.70,3103.946,813.50,909.1429,108.32, -,9.373784
4.75,3143.103,812.30,910.1905,108.32, -,9.373784
4.80,3185.574,811.00,905.2857,108.32, -,9.373784
4.85,3205.195,810.40,866.4286,108.32, -,9.373784
4.90,3228.102,809.70,851.8571,108.32, -,9.373784
4.95,3270.684,808.40,822.5714,108.32, -,9.373784
5.00,3333.022,806.50,839.3333,108.32, -,9.373784
5.05,3375.741,805.20,843.4286,108.32, -,9.373784
5.10,3395.478,804.60,819.5238,108.32, -,9.373784
5.15,3421.81,803.80,789.619,108.32, -,9.373784
