UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
May 03 2025 20:57:17.100 UTC,1746320237.1,251.9,34.05363,-80.41901,17,3,0,0,107,3,1,11,3,-39,4.165,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.200 UTC,1746320237.2,251.9,34.05363,-80.41901,17,3,0,0,-139,3,1,11,3,-38,4.165,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.300 UTC,1746320237.3,251.9,34.05363,-80.41901,17,3,0,0,-8,3,1,11,3,-38,4.165,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.400 UTC,1746320237.4,251.9,34.05363,-80.41901,17,3,0,0,90,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.500 UTC,1746320237.5,251.9,34.05363,-80.41901,17,3,0,0,-55,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.600 UTC,1746320237.6,251.9,34.05363,-80.41901,17,3,0,0,28,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.700 UTC,1746320237.7,251.9,34.05363,-80.41901,17,3,0,0,102,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.800 UTC,1746320237.8,251.9,34.05363,-80.41901,17,3,0,0,-63,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:17.900 UTC,1746320237.9,251.8,34.05363,-80.41901,17,3,0,0,97,3,1,11,3,-38,4.164,0.8,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.000 UTC,1746320238.0,251.8,34.05363,-80.41901,17,3,0,0,-20,3,1,11,3,-38,4.164,0.8,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.100 UTC,1746320238.1,251.9,34.05363,-80.41901,17,3,0,0,54,3,1,11,3,-38,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.200 UTC,1746320238.2,251.8,34.05363,-80.41901,17,3,0,0,-61,3,1,11,3,-39,4.164,0.8,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.300 UTC,1746320238.3,251.9,34.05363,-80.41901,17,3,0,0,-84,3,1,11,3,-39,4.164,0.9,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.400 UTC,1746320238.4,251.8,34.05363,-80.41901,17,3,0,0,-59,3,1,11,3,-39,4.164,0.8,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.500 UTC,1746320238.5,251.8,34.05363,-80.41901,17,3,0,0,-160,3,1,11,3,-39,4.164,0.8,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.600 UTC,1746320238.6,251.7,34.05363,-80.41901,17,3,0,0,-90,3,1,11,3,-39,4.164,0.7,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.700 UTC,1746320238.7,251.7,34.05363,-80.41901,17,3,0,0,132,3,1,11,3,-39,4.164,0.7,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:18.800 UTC,1746320238.8,251.7,34.05363,-80.41901,17,3,0,0,117,3,1,11,3,-39,4.164,0.7,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.000 UTC,1746320239.0,251.6,34.05363,-80.41901,17,3,0,0,34,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.100 UTC,1746320239.1,251.6,34.05363,-80.41901,17,3,0,0,75,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.200 UTC,1746320239.2,251.6,34.05363,-80.41901,17,3,0,0,-91,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.300 UTC,1746320239.3,251.6,34.05363,-80.41901,17,3,0,0,-43,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.400 UTC,1746320239.4,251.6,34.05363,-80.41901,17,3,0,0,7,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.500 UTC,1746320239.5,251.6,34.05363,-80.41901,17,3,0,0,-137,3,1,11,3,-39,4.164,0.6,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.600 UTC,1746320239.6,251.5,34.05363,-80.41901,17,3,0,0,-40,3,1,11,3,-39,4.164,0.5,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.700 UTC,1746320239.7,251.5,34.05363,-80.41901,17,3,0,0,-18,3,1,11,3,-39,4.164,0.5,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.800 UTC,1746320239.8,251.5,34.05363,-80.41901,17,3,0,0,145,3,1,11,3,-39,4.164,0.5,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:19.900 UTC,1746320239.9,251.5,34.05363,-80.41901,17,3,0,0,36,3,1,11,3,-39,4.164,0.5,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.000 UTC,1746320240.0,251.4,34.05363,-80.41901,17,3,0,0,-51,3,1,11,3,-39,4.164,0.4,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.100 UTC,1746320240.1,251.4,34.05363,-80.41901,17,3,0,0,116,3,1,11,3,-39,4.164,0.4,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.200 UTC,1746320240.2,251.4,34.05363,-80.41901,17,3,0,0,-83,3,1,11,3,-38,4.164,0.4,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.300 UTC,1746320240.3,251.4,34.05363,-80.41901,17,3,0,0,0,3,1,11,3,-38,4.164,0.4,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.400 UTC,1746320240.4,251.4,34.05363,-80.41901,17,3,0,0,123,3,1,10,4,-38,4.164,0.4,FALSE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.500 UTC,1746320240.5,252.0,34.05363,-80.41901,17,3,3,5,-177,3,1,7,7,-38,4.164,1.0,TRUE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.600 UTC,1746320240.6,253.6,34.05363,-80.41901,17,3,2,19,-137,3,0,8,7,-38,4.164,2.6,TRUE,FALSE,FALSE,0.0000
May 03 2025 20:57:20.700 UTC,1746320240.7,256.8,34.05363,-80.41901,17,3,0,34,-94,3,0,8,7,-38,4.164,5.8,TRUE,FALSE,FALSE,2.2914
May 03 2025 20:57:20.800 UTC,1746320240.8,261.7,34.05363,-80.41901,17,3,4,50,-105,3,0,6,9,-38,4.164,10.7,TRUE,FALSE,FALSE,2.2914
May 03 2025 20:57:20.900 UTC,1746320240.9,268.0,34.05363,-80.41901,17,3,6,66,-103,3,0,6,8,-38,4.164,17.0,TRUE,FALSE,FALSE,2.2914
May 03 2025 20:57:21.000 UTC,1746320241.0,276.3,34.05363,-80.41901,16,3,9,82,-104,3,0,7,7,-38,4.164,25.3,TRUE,FALSE,FALSE,2.2914
May 03 2025 20:57:21.100 UTC,1746320241.1,286.6,34.05363,-80.41902,16,3,11,101,-104,3,0,8,6,-38,4.164,35.6,TRUE,FALSE,FALSE,4.8105
May 03 2025 20:57:21.200 UTC,1746320241.2,298.4,34.05363,-80.41903,15,3,11,121,-89,3,0,8,3,-25,4.164,47.4,TRUE,FALSE,FALSE,7.0694
May 03 2025 20:57:21.300 UTC,1746320241.3,312.1,34.05363,-80.41903,15,3,10,139,-87,3,0,8,3,-25,4.164,61.1,TRUE,FALSE,FALSE,7.0694
May 03 2025 20:57:21.400 UTC,1746320241.4,328.2,34.05363,-80.41904,14,3,10,161,-80,3,0,8,3,-25,4.164,77.2,TRUE,FALSE,FALSE,9.2290
May 03 2025 20:57:21.500 UTC,1746320241.5,345.4,34.05363,-80.41904,14,3,4,175,-58,3,0,7,4,-25,4.164,94.4,TRUE,FALSE,FALSE,9.2290
May 03 2025 20:57:21.700 UTC,1746320241.7,383.6,34.05363,-80.41904,14,3,14,201,70,3,0,5,6,-25,4.164,132.6,TRUE,FALSE,FALSE,9.2290
May 03 2025 20:57:21.800 UTC,1746320241.8,404.3,34.05364,-80.41903,14,3,22,210,88,3,0,6,6,-25,4.164,153.3,TRUE,FALSE,FALSE,7.0694
May 03 2025 20:57:21.900 UTC,1746320241.9,425.0,34.05364,-80.41902,13,3,36,219,83,3,0,8,2,-25,4.164,174.0,TRUE,FALSE,FALSE,4.8105
May 03 2025 20:57:22.000 UTC,1746320242.0,448.0,34.05364,-80.41901,12,3,45,232,83,3,0,8,2,-25,4.164,197.0,TRUE,FALSE,FALSE,1.3945
May 03 2025 20:57:22.100 UTC,1746320242.1,471.1,34.05364,-80.41898,12,3,58,239,84,3,0,7,4,-25,4.164,220.1,TRUE,FALSE,FALSE,7.4706
May 03 2025 20:57:22.200 UTC,1746320242.2,496.0,34.05364,-80.41897,13,3,65,250,83,3,0,8,4,-33,4.164,245.0,TRUE,FALSE,FALSE,11.8737
May 03 2025 20:57:22.300 UTC,1746320242.3,522.2,34.05365,-80.41895,13,3,71,264,82,3,0,9,2,-33,4.164,271.2,TRUE,FALSE,FALSE,18.9338
May 03 2025 20:57:22.400 UTC,1746320242.4,549.8,34.05365,-80.41892,13,3,75,277,80,3,0,8,3,-33,4.164,298.8,TRUE,FALSE,FALSE,25.7339
May 03 2025 20:57:22.500 UTC,1746320242.5,579.2,34.05365,-80.41889,13,3,79,294,81,3,0,7,4,-33,4.164,328.2,TRUE,FALSE,FALSE,35.0736
May 03 2025 20:57:22.600 UTC,1746320242.6,610.0,34.05365,-80.41887,13,3,82,310,80,3,0,4,6,-33,4.164,359.0,TRUE,FALSE,FALSE,42.1335
May 03 2025 20:57:22.700 UTC,1746320242.7,642.4,34.05366,-80.41885,12,3,83,325,79,3,0,5,5,-33,4.164,391.4,TRUE,FALSE,FALSE,49.1961
May 03 2025 20:57:22.800 UTC,1746320242.8,675.6,34.05366,-80.41882,13,3,82,337,80,3,1,2,8,-33,4.164,424.6,TRUE,FALSE,FALSE,58.5329
May 03 2025 20:57:22.900 UTC,1746320242.9,709.8,34.05367,-80.41879,13,3,84,346,81,3,0,5,7,-33,4.164,458.8,TRUE,FALSE,FALSE,67.8703
May 03 2025 20:57:23.000 UTC,1746320243.0,745.5,34.05367,-80.41876,13,3,85,357,85,3,0,4,9,-33,4.164,494.5,TRUE,FALSE,FALSE,74.7107
May 03 2025 20:57:23.100 UTC,1746320243.1,782.5,34.05367,-80.41873,13,3,91,366,90,3,0,7,6,-33,4.164,531.5,TRUE,FALSE,FALSE,84.0497
May 03 2025 20:57:23.400 UTC,1746320243.4,899.4,34.05367,-80.41863,13,3,112,407,91,3,0,8,4,-37,4.164,648.4,TRUE,FALSE,FALSE,113.6685
May 03 2025 20:57:23.500 UTC,1746320243.5,941.4,34.05367,-80.41859,13,3,118,417,92,3,0,8,4,-37,4.164,690.4,TRUE,FALSE,FALSE,127.4606
May 03 2025 20:57:23.600 UTC,1746320243.6,984.4,34.05366,-80.41855,13,3,122,428,92,3,0,9,1,-37,4.164,733.4,TRUE,FALSE,FALSE,138.8583
May 03 2025 20:57:23.700 UTC,1746320243.7,1028.1,34.05366,-80.41851,13,3,127,437,93,3,0,9,1,-37,4.164,777.1,TRUE,FALSE,FALSE,150.3753
May 03 2025 20:57:23.800 UTC,1746320243.8,1073.0,34.05366,-80.41846,13,3,132,450,92,3,0,8,2,-37,4.164,822.0,TRUE,FALSE,FALSE,164.1233
