Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,DeltaT_x,VERTA_x,VERTASmooth_x,UTCTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet),DeltaT_y,EWFeet,NSFeet,EWVel,NSVel,EWVelSmooth,NSVelSmooth,Zenith,TotalV,VERTA_y,HORZA,VERTASmooth_y,HORZASmooth,VERTA_NO_GRAVITY,DragA,DragA_Smooth
0.0,-1.412171e-06,1010.6,0.0,83.3, -,8.770906,,,,Apr 13 2025 16:59:17.500 UTC,264.0,-1.9999999999242846e-05,-2.9999999995311555e-05,15.0,3.0,25.0,56.0,-125.0,3.0,0.0,3.0,7.0,-36.0,3.703,18.0,True,False,False,11.086,0.1,-9.56952532916007,-7.291343999723966,-31.89841777897703,-36.45672001157185,-22.784584121364965,-10.416205713891378,24.057349450011728,61.326992425847855,50.0,20.0,121.42857142857143,18.571428571428573,153.62857142857143,154.9249429858978,174.46280508054645
0.05,8.207794,1010.3,7.809524,83.3, -,8.770906,0.05,156.19047999999998,,Apr 13 2025 16:59:17.500 UTC,264.0,-1.9999999999242846e-05,-2.9999999995311555e-05,15.0,3.0,25.0,56.0,-125.0,3.0,0.0,3.0,7.0,-36.0,3.703,18.0,True,False,False,11.086,0.1,-9.56952532916007,-7.291343999723966,-31.89841777897703,-36.45672001157185,-22.784584121364965,-10.416205713891378,24.057349450011728,61.326992425847855,50.0,20.0,121.42857142857143,18.571428571428573,153.62857142857143,154.9249429858978,174.46280508054645
0.1,16.41756,1010.0,15.61905,83.3, -,8.770906,0.05,156.19052,,Apr 13 2025 16:59:17.600 UTC,271.2,-1.9999999999242846e-05,-2.9999999995311555e-05,15.0,3.0,26.0,74.0,-121.0,3.0,0.0,4.0,6.0,-36.0,3.703,25.2,True,False,False,13.6703,0.1,-9.56952532916007,-7.291343999723966,0.0,0.0,-22.784584114889196,-5.2081028587959795,19.35899417569472,78.43468620451031,180.0,10.0,157.14285714285714,12.857142857142858,189.34285714285716,189.6067444766151,182.70357879294647
0.15,24.62931,1009.7,23.42857,83.3, -,8.770906,0.04999999999999999,156.19040000000004,,Apr 13 2025 16:59:17.600 UTC,271.2,-1.9999999999242846e-05,-2.9999999995311555e-05,15.0,3.0,26.0,74.0,-121.0,3.0,0.0,4.0,6.0,-36.0,3.703,25.2,True,False,False,13.6703,0.1,-9.56952532916007,-7.291343999723966,0.0,0.0,-22.784584114889196,-5.2081028587959795,19.35899417569472,78.43468620451031,180.0,10.0,157.14285714285714,12.857142857142858,189.34285714285716,189.6067444766151,182.70357879294647
0.2,35.58249,1009.3,33.85714,83.3, -,8.770906,0.05000000000000002,208.57139999999995,163.8095142857143,Apr 13 2025 16:59:17.700 UTC,280.5,-1.9999999999242846e-05,-3.999999999848569e-05,15.0,3.0,24.0,95.0,-114.0,3.0,0.0,4.0,6.0,-36.0,3.703,34.5,True,False,False,15.3774,0.1,-12.759367107057772,-7.291343999723966,-31.898417778977013,0.0,-22.78458412136497,-5.2081028587959795,14.178064414706895,97.98469268207153,210.0,-20.0,198.57142857142858,18.571428571428573,230.7714285714286,231.63646570628288,189.39761256933838
0.25,41.06039,1009.1,39.09524,83.3, -,8.770906,0.04999999999999999,104.76199999999994,171.29250285714284,Apr 13 2025 16:59:17.700 UTC,280.5,-1.9999999999242846e-05,-3.999999999848569e-05,15.0,3.0,24.0,95.0,-114.0,3.0,0.0,4.0,6.0,-36.0,3.703,34.5,True,False,False,15.3774,0.1,-12.759367107057772,-7.291343999723966,-31.898417778977013,0.0,-22.78458412136497,-5.2081028587959795,14.178064414706895,97.98469268207153,210.0,-20.0,198.57142857142858,18.571428571428573,230.7714285714286,231.63646570628288,189.39761256933838
0.3,52.01718,1008.7,49.52381,83.3, -,8.770906,0.04999999999999999,208.57140000000007,178.77551428571428,Apr 13 2025 16:59:17.800 UTC,291.6,-1.9999999999242846e-05,-5.000000000165983e-05,15.0,3.0,27.0,111.0,-98.0,3.0,0.0,4.0,7.0,-36.0,3.703,45.6,True,False,False,18.0504,0.09999999999999998,-15.949208884955475,-7.291343999723966,-31.898417778977038,0.0,-27.34150094693311,2.0301221021717147e-15,13.671307132195821,114.23659658795863,160.00000000000003,30.000000000000007,218.57142857142858,27.142857142857146,250.7714285714286,252.55951652581837,195.22684393349687
0.35,60.23749,1008.4,57.33333,83.3, -,8.770906,0.04999999999999999,156.1904,178.91157142857142,Apr 13 2025 16:59:17.800 UTC,291.6,-1.9999999999242846e-05,-5.000000000165983e-05,15.0,3.0,27.0,111.0,-98.0,3.0,0.0,4.0,7.0,-36.0,3.703,45.6,True,False,False,18.0504,0.09999999999999998,-15.949208884955475,-7.291343999723966,-31.898417778977038,0.0,-27.34150094693311,2.0301221021717147e-15,13.671307132195821,114.23659658795863,160.00000000000003,30.000000000000007,218.57142857142858,27.142857142857146,250.7714285714286,252.55951652581837,195.22684393349687
0.4,71.2021,1008.0,67.7619,83.3, -,8.770906,0.050000000000000044,208.5713999999998,171.56462857142856,Apr 13 2025 16:59:17.900 UTC,305.6,-1.9999999999242846e-05,-5.999999999062311e-05,13.0,3.0,28.0,139.0,-76.0,3.0,0.0,3.0,8.0,-36.0,3.703,59.6,True,False,False,19.1711,0.10000000000000003,-19.13905065832014,-7.291343999723966,-31.89841773364665,0.0,-27.341500946933117,5.208102858795981,11.38917969805452,141.79210133149166,279.9999999999999,9.999999999999996,240.00000000000003,37.14285714285715,272.20000000000005,272.38362652699965,199.6941002975075
0.45,82.17024,1007.6,78.19048,83.3, -,8.770906,0.04999999999999999,208.5716,201.3604571428572,Apr 13 2025 16:59:17.900 UTC,305.6,-1.9999999999242846e-05,-5.999999999062311e-05,13.0,3.0,28.0,139.0,-76.0,3.0,0.0,3.0,8.0,-36.0,3.703,59.6,True,False,False,19.1711,0.10000000000000003,-19.13905065832014,-7.291343999723966,-31.89841773364665,0.0,-27.341500946933117,5.208102858795981,11.38917969805452,141.79210133149166,279.9999999999999,9.999999999999996,240.00000000000003,37.14285714285715,272.20000000000005,272.38362652699965,199.6941002975075
0.5,90.39783,1007.3,86.04762,83.3, -,8.770906,0.04999999999999999,157.14280000000005,201.49654285714286,Apr 13 2025 16:59:18.000 UTC,323.8,-1.9999999999242846e-05,-6.999999999379725e-05,11.0,3.0,35.0,179.0,-61.0,3.0,0.0,4.0,6.0,-36.0,3.703,77.8,True,False,False,22.7221,0.09999999999999998,-22.328892436217846,-7.291343999723966,-31.898417778977056,0.0,-36.45533459159363,15.624308572687353,11.063500533343287,182.3896926912264,400.0000000000001,70.00000000000001,240.0,47.142857142857146,272.2,281.0566490940928,204.21566700390872
0.55,98.62739,1007.0,93.90476,83.12, -,8.770906,0.050000000000000044,157.14279999999988,201.63277142857143,Apr 13 2025 16:59:18.100 UTC,344.4,-9.999999996068709e-06,-7.999999999697138e-05,11.0,3.0,42.0,204.0,-56.0,3.0,0.0,2.0,6.0,-36.0,3.703,98.4,True,False,False,24.4454,0.09999999999999998,-25.518734214115543,-3.6456719985667805,-31.898417778976984,36.45672001157187,-36.45533459159364,20.832411431483333,11.63363399894044,208.2786594925174,250.00000000000006,70.00000000000001,225.71428571428572,57.142857142857146,257.9142857142857,267.2447918585322,207.99518433035652
0.6,115.0925,1006.4,109.5714,83.12, -,8.770906,0.04999999999999993,313.3328000000004,209.2517142857143,Apr 13 2025 16:59:18.100 UTC,344.4,-9.999999996068709e-06,-7.999999999697138e-05,11.0,3.0,42.0,204.0,-56.0,3.0,0.0,2.0,6.0,-36.0,3.703,98.4,True,False,False,24.4454,0.09999999999999998,-25.518734214115543,-3.6456719985667805,-31.898417778976984,36.45672001157187,-36.45533459159364,20.832411431483333,11.63363399894044,208.2786594925174,250.00000000000006,70.00000000000001,225.71428571428572,57.142857142857146,257.9142857142857,267.2447918585322,207.99518433035652
0.65,126.0747,1006.0,120.0476,83.12, -,8.770906,0.050000000000000044,209.52399999999992,231.83662857142855,Apr 13 2025 16:59:18.200 UTC,367.0,-9.999999996068709e-06,-9.000000000014552e-05,11.0,3.0,51.0,224.0,-53.0,3.0,0.0,2.0,6.0,-36.0,3.703,121.0,True,False,False,28.36,0.09999999999999998,-28.70857599201325,-3.6456719985667805,-31.89841777897709,0.0,-36.45533459159363,31.248617145374716,12.82637518227277,229.73245308401684,200.00000000000006,90.00000000000001,221.42857142857142,62.857142857142854,253.62857142857143,269.123488839042,212.17217792590304
0.7,134.3129,1005.7,127.9048,83.12, -,8.770906,0.04999999999999993,157.14400000000003,239.3196571428572,Apr 13 2025 16:59:18.200 UTC,367.0,-9.999999996068709e-06,-9.000000000014552e-05,11.0,3.0,51.0,224.0,-53.0,3.0,0.0,2.0,6.0,-36.0,3.703,121.0,True,False,False,28.36,0.09999999999999998,-28.70857599201325,-3.6456719985667805,-31.89841777897709,0.0,-36.45533459159363,31.248617145374716,12.82637518227277,229.73245308401684,200.00000000000006,90.00000000000001,221.42857142857142,62.857142857142854,253.62857142857143,269.123488839042,212.17217792590304
0.75,148.0482,1005.2,141.0,83.12, -,8.770906,0.050000000000000044,261.9039999999999,246.80268571428567,Apr 13 2025 16:59:18.200 UTC,367.0,-9.999999996068709e-06,-9.000000000014552e-05,11.0,3.0,51.0,224.0,-53.0,3.0,0.0,2.0,6.0,-36.0,3.703,121.0,True,False,False,28.36,0.09999999999999998,-28.70857599201325,-3.6456719985667805,-31.89841777897709,0.0,-36.45533459159363,31.248617145374716,12.82637518227277,229.73245308401684,200.00000000000006,90.00000000000001,221.42857142857142,62.857142857142854,253.62857142857143,269.123488839042,212.17217792590304
0.8,167.2872,1004.5,159.3333,83.12, -,8.770906,0.050000000000000044,366.6659999999998,239.456,Apr 13 2025 16:59:18.300 UTC,391.4,1.0000000003174137e-05,-0.00010999999999228294,11.0,3.0,59.0,242.0,-49.0,3.0,0.0,3.0,7.0,-32.0,3.703,145.4,True,False,False,32.6665,0.10000000000000009,-35.08825954327562,3.645672001157186,-63.796835512623616,72.9134399972396,-36.4553345980694,41.664822859266096,13.701510492346529,249.08833774386147,179.99999999999983,79.99999999999993,198.57142857142858,67.14285714285714,230.7714285714286,244.24465653294845,214.41052810933542
0.85,178.2863,1004.1,169.8095,83.12, -,8.770906,0.04999999999999993,209.5240000000004,269.38771428571425,Apr 13 2025 16:59:18.300 UTC,391.4,1.0000000003174137e-05,-0.00010999999999228294,11.0,3.0,59.0,242.0,-49.0,3.0,0.0,3.0,7.0,-32.0,3.703,145.4,True,False,False,32.6665,0.10000000000000009,-35.08825954327562,3.645672001157186,-63.796835512623616,72.9134399972396,-36.4553345980694,41.664822859266096,13.701510492346529,249.08833774386147,179.99999999999983,79.99999999999993,198.57142857142858,67.14285714285714,230.7714285714286,244.24465653294845,214.41052810933542
0.9,189.2872,1003.7,180.2857,83.12, -,8.770906,0.050000000000000044,209.52399999999935,276.8705714285714,Apr 13 2025 16:59:18.400 UTC,416.3,2.0000000006348273e-05,-0.00011999999999545707,10.0,3.0,64.0,253.0,-32.0,3.0,0.0,4.0,5.0,-32.0,3.703,170.3,True,False,False,35.2243,0.09999999999999998,-38.278101321173324,7.291344002314372,-31.898417778977056,36.45672001157187,-41.01225141716178,46.87292571436149,14.195989651152473,260.969346858975,110.00000000000003,50.000000000000014,162.8571428571429,64.28571428571429,195.05714285714288,201.363574113075,216.92770965696377
0.95,203.0447,1003.2,193.381,83.12, -,8.770906,0.04999999999999993,261.9060000000005,262.17685714285705,Apr 13 2025 16:59:18.400 UTC,416.3,2.0000000006348273e-05,-0.00011999999999545707,10.0,3.0,64.0,253.0,-32.0,3.0,0.0,4.0,5.0,-32.0,3.703,170.3,True,False,False,35.2243,0.09999999999999998,-38.278101321173324,7.291344002314372,-31.898417778977056,36.45672001157187,-41.01225141716178,46.87292571436149,14.195989651152473,260.969346858975,110.00000000000003,50.000000000000014,162.8571428571429,64.28571428571429,195.05714285714288,201.363574113075,216.92770965696377
1.0,225.0678,1002.4,214.3333,83.12, -,8.770906,0.050000000000000044,419.04599999999976,232.51714285714291,Apr 13 2025 16:59:18.500 UTC,442.9,4.000000000559112e-05,-0.0001299999999986312,10.0,3.0,71.0,266.0,-27.0,3.0,0.0,3.0,6.0,-32.0,3.703,196.9,True,False,False,41.1339,0.09999999999999998,-41.46794309907102,14.582688002038338,-31.898417778976984,72.91343999723968,-41.012251417161785,52.0810285694569,14.944822835242732,275.3125496594734,130.00000000000003,70.00000000000001,148.57142857142858,62.857142857142854,180.7714285714286,193.85125583228785,218.75884901576418
1.05,236.0855,1002.0,224.8095,83.12, -,8.770906,0.050000000000000044,209.52399999999992,232.78914285714276,Apr 13 2025 16:59:18.500 UTC,442.9,4.000000000559112e-05,-0.0001299999999986312,10.0,3.0,71.0,266.0,-27.0,3.0,0.0,3.0,6.0,-32.0,3.703,196.9,True,False,False,41.1339,0.09999999999999998,-41.46794309907102,14.582688002038338,-31.898417778976984,72.91343999723968,-41.012251417161785,52.0810285694569,14.944822835242732,275.3125496594734,130.00000000000003,70.00000000000001,148.57142857142858,62.857142857142854,180.7714285714286,193.85125583228785,218.75884901576418
1.1,252.6171,1001.4,232.7619,83.12, -,8.770906,0.050000000000000044,159.04799999999952,218.09514285714295,Apr 13 2025 16:59:18.600 UTC,470.8,6.0000000004833964e-05,-0.00014000000000180535,9.0,3.0,75.0,278.0,-29.0,3.0,0.0,2.0,6.0,-32.0,3.703,224.8,True,False,False,45.6491,0.10000000000000009,-44.65778487696873,21.874032001762306,-31.89841777897702,72.9134399972396,-45.56916824272994,67.70533714214427,15.098048729299691,287.9392296996017,119.9999999999999,39.999999999999964,138.57142857142858,57.142857142857146,170.7714285714286,175.3935027768319,218.90552538062616
1.15,269.1584,1000.8,240.7143,83.12, -,8.770906,0.04999999999999982,159.0480000000008,218.36714285714282,Apr 13 2025 16:59:18.600 UTC,470.8,6.0000000004833964e-05,-0.00014000000000180535,9.0,3.0,75.0,278.0,-29.0,3.0,0.0,2.0,6.0,-32.0,3.703,224.8,True,False,False,45.6491,0.10000000000000009,-44.65778487696873,21.874032001762306,-31.89841777897702,72.9134399972396,-45.56916824272994,67.70533714214427,15.098048729299691,287.9392296996017,119.9999999999999,39.999999999999964,138.57142857142858,57.142857142857146,170.7714285714286,175.3935027768319,218.90552538062616
1.2,288.4659,1000.1,251.2857,83.12, -,8.770906,0.050000000000000044,211.42799999999946,181.36057142857138,Apr 13 2025 16:59:18.700 UTC,500.2,7.000000000090267e-05,-0.00015999999999394277,10.0,3.0,80.0,293.0,-30.0,3.0,0.0,4.0,5.0,-32.0,3.703,254.2,True,False,False,52.2013,0.09999999999999987,-51.03746842823109,25.519704000329085,-63.79683551262369,36.456719985667846,-36.45533459806943,67.70533714214426,15.271663830958587,303.7252047492931,150.0000000000002,50.000000000000064,134.28571428571428,58.57142857142857,166.48571428571427,173.83179531151512,218.5142760110135
1.25,305.023,999.5,256.619,83.12, -,8.770906,0.050000000000000044,106.66600000000064,189.2517142857143,Apr 13 2025 16:59:18.700 UTC,500.2,7.000000000090267e-05,-0.00015999999999394277,10.0,3.0,80.0,293.0,-30.0,3.0,0.0,4.0,5.0,-32.0,3.703,254.2,True,False,False,52.2013,0.09999999999999987,-51.03746842823109,25.519704000329085,-63.79683551262369,36.456719985667846,-36.45533459806943,67.70533714214426,15.271663830958587,303.7252047492931,150.0000000000002,50.000000000000064,134.28571428571428,58.57142857142857,166.48571428571427,173.83179531151512,218.5142760110135
1.3,324.3508,998.8,269.8095,83.12, -,8.770906,0.050000000000000044,263.8099999999995,189.38771428571437,Apr 13 2025 16:59:18.800 UTC,531.0,9.000000000014552e-05,-0.0001699999999971169,9.0,3.0,86.0,308.0,-30.0,3.0,0.0,4.0,4.0,-32.0,3.703,285.0,True,False,False,60.347,0.10000000000000009,-54.22731020612879,32.811048000053056,-31.89841777897702,72.91343999723964,-45.56916824272993,72.91343999723966,15.600837806615502,319.7811751807789,149.99999999999986,59.99999999999995,138.57142857142858,61.42857142857141,170.7714285714286,181.00519555064307,219.89732731247744
1.35,343.6896,998.1,277.8095,83.12, -,8.770906,0.050000000000000044,159.99999999999986,204.62571428571428,Apr 13 2025 16:59:18.900 UTC,563.1,0.0001200000000025625,-0.00019000000000346517,11.0,3.0,91.0,321.0,-21.0,3.0,0.0,4.0,6.0,-32.0,3.703,317.1,True,False,False,68.8545,0.09999999999999987,-60.6069937619242,43.74806400093421,-63.79683555795418,109.37016000881165,-45.56916824272994,78.12154285603567,15.827454981640003,333.64951670877633,130.00000000000017,50.000000000000064,140.00000000000003,57.14285714285713,172.20000000000005,179.3121300972135,226.9718690861115
1.4,365.8039,997.3,291.0476,83.12, -,8.770906,0.04999999999999982,264.76200000000046,204.76200000000003,Apr 13 2025 16:59:18.900 UTC,563.1,0.0001200000000025625,-0.00019000000000346517,11.0,3.0,91.0,321.0,-21.0,3.0,0.0,4.0,6.0,-32.0,3.703,317.1,True,False,False,68.8545,0.09999999999999987,-60.6069937619242,43.74806400093421,-63.79683555795418,109.37016000881165,-45.56916824272994,78.12154285603567,15.827454981640003,333.64951670877633,130.00000000000017,50.000000000000064,140.00000000000003,57.14285714285713,172.20000000000005,179.3121300972135,226.9718690861115
1.45,385.1662,996.6,299.0476,83.12, -,8.770906,0.050000000000000044,159.99999999999986,219.86399999999983,Apr 13 2025 16:59:18.900 UTC,563.1,0.0001200000000025625,-0.00019000000000346517,11.0,3.0,91.0,321.0,-21.0,3.0,0.0,4.0,6.0,-32.0,3.703,317.1,True,False,False,68.8545,0.09999999999999987,-60.6069937619242,43.74806400093421,-63.79683555795418,109.37016000881165,-45.56916824272994,78.12154285603567,15.827454981640003,333.64951670877633,130.00000000000017,50.000000000000064,140.00000000000003,57.14285714285713,172.20000000000005,179.3121300972135,226.9718690861115
1.5,410.0754,995.7,312.3333,82.94, -,8.770906,0.050000000000000044,265.71400000000017,190.20428571428562,Apr 13 2025 16:59:19.000 UTC,596.7,0.00014000000000180535,-0.00019000000000346517,10.0,3.0,100.0,336.0,-29.0,3.0,0.0,4.0,5.0,-32.0,3.703,350.7,True,False,False,75.8211,0.10000000000000009,-60.6069937619242,51.03940800065817,0.0,72.91343999723956,-50.12608506182232,83.32964571483164,16.574007756908983,350.5652578336878,149.99999999999986,89.99999999999991,142.85714285714286,61.42857142857142,175.05714285714288,196.8375047223118,225.79906823637606
1.55,429.463,995.0,322.9524,82.94, -,8.770906,0.050000000000000044,212.38199999999986,197.8231428571428,Apr 13 2025 16:59:19.000 UTC,596.7,0.00014000000000180535,-0.00019000000000346517,10.0,3.0,100.0,336.0,-29.0,3.0,0.0,4.0,5.0,-32.0,3.703,350.7,True,False,False,75.8211,0.10000000000000009,-60.6069937619242,51.03940800065817,0.0,72.91343999723956,-50.12608506182232,83.32964571483164,16.574007756908983,350.5652578336878,149.99999999999986,89.99999999999991,142.85714285714286,61.42857142857142,175.05714285714288,196.8375047223118,225.79906823637606
1.6,448.8616,994.3,333.5714,82.94, -,8.770906,0.050000000000000044,212.37999999999923,190.47628571428552,Apr 13 2025 16:59:19.100 UTC,631.8,0.0001600000000010482,-0.00021999999999877673,10.0,3.0,107.0,350.0,-31.0,3.0,0.0,4.0,5.0,-32.0,3.703,385.8,True,False,False,86.5242,0.10000000000000009,-70.17651909108427,58.33075200038214,-95.69525329160064,72.91343999723964,-50.1260850682981,93.74585142872304,16.99914089075375,365.99043703353783,139.9999999999999,69.99999999999994,134.28571428571428,58.57142857142856,166.48571428571427,180.60313690859437,219.82325086011878
1.65,468.2713,993.6,336.381,82.94, -,8.770906,0.04999999999999982,56.19199999999998,190.6122857142857,Apr 13 2025 16:59:19.100 UTC,631.8,0.0001600000000010482,-0.00021999999999877673,10.0,3.0,107.0,350.0,-31.0,3.0,0.0,4.0,5.0,-32.0,3.703,385.8,True,False,False,86.5242,0.10000000000000009,-70.17651909108427,58.33075200038214,-95.69525329160064,72.91343999723964,-50.1260850682981,93.74585142872304,16.99914089075375,365.99043703353783,139.9999999999999,69.99999999999994,134.28571428571428,58.57142857142856,166.48571428571427,180.60313690859437,219.82325086011878
1.7,490.4666,992.8,347.0476,82.94, -,8.770906,0.050000000000000044,213.33200000000014,168.29942857142834,Apr 13 2025 16:59:19.200 UTC,668.1,0.00019000000000346517,-0.00023000000000195087,11.0,3.0,111.0,364.0,-27.0,3.0,0.0,4.0,5.0,-32.0,3.703,422.1,True,False,False,96.525,0.09999999999999987,-73.36636086898197,69.26776800126329,-31.89841777897702,109.37016000881165,-59.239918712958605,93.74585142872304,16.958825652303616,380.54828865730036,140.0000000000002,40.00000000000006,161.42857142857142,57.142857142857125,193.62857142857143,197.7170292955804,212.298959315767
1.75,509.9001,992.1,357.7143,82.94, -,8.770906,0.050000000000000044,213.33399999999963,168.5714285714286,Apr 13 2025 16:59:19.200 UTC,668.1,0.00019000000000346517,-0.00023000000000195087,11.0,3.0,111.0,364.0,-27.0,3.0,0.0,4.0,5.0,-32.0,3.703,422.1,True,False,False,96.525,0.09999999999999987,-73.36636086898197,69.26776800126329,-31.89841777897702,109.37016000881165,-59.239918712958605,93.74585142872304,16.958825652303616,380.54828865730036,140.0000000000002,40.00000000000006,161.42857142857142,57.142857142857125,193.62857142857143,197.7170292955804,212.298959315767
