,Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,DeltaT,VERTA,VERTASmooth
0,0.0,-1.412171e-06,1010.6,0.0,83.3, -,8.770906,,,
1,0.05,8.207794,1010.3,7.809524,83.3, -,8.770906,0.05,156.19047999999998,
2,0.1,16.41756,1010.0,15.61905,83.3, -,8.770906,0.05,156.19052,
3,0.15,24.62931,1009.7,23.42857,83.3, -,8.770906,0.04999999999999999,156.19040000000004,
4,0.2,35.58249,1009.3,33.85714,83.3, -,8.770906,0.05000000000000002,208.57139999999995,163.8095142857143
5,0.25,41.06039,1009.1,39.09524,83.3, -,8.770906,0.04999999999999999,104.76199999999994,171.29250285714284
6,0.3,52.01718,1008.7,49.52381,83.3, -,8.770906,0.04999999999999999,208.57140000000007,178.77551428571428
7,0.35,60.23749,1008.4,57.33333,83.3, -,8.770906,0.04999999999999999,156.1904,178.91157142857142
8,0.4,71.2021,1008.0,67.7619,83.3, -,8.770906,0.050000000000000044,208.5713999999998,171.56462857142856
9,0.45,82.17024,1007.6,78.19048,83.3, -,8.770906,0.04999999999999999,208.5716,201.3604571428572
10,0.5,90.39783,1007.3,86.04762,83.3, -,8.770906,0.04999999999999999,157.14280000000005,201.49654285714286
11,0.55,98.62739,1007.0,93.90476,83.12, -,8.770906,0.050000000000000044,157.14279999999988,201.63277142857143
12,0.6,115.0925,1006.4,109.5714,83.12, -,8.770906,0.04999999999999993,313.3328000000004,209.2517142857143
13,0.65,126.0747,1006.0,120.0476,83.12, -,8.770906,0.050000000000000044,209.52399999999992,231.83662857142855
14,0.7,134.3129,1005.7,127.9048,83.12, -,8.770906,0.04999999999999993,157.14400000000003,239.3196571428572
15,0.75,148.0482,1005.2,141.0,83.12, -,8.770906,0.050000000000000044,261.9039999999999,246.80268571428567
16,0.8,167.2872,1004.5,159.3333,83.12, -,8.770906,0.050000000000000044,366.6659999999998,239.456
17,0.85,178.2863,1004.1,169.8095,83.12, -,8.770906,0.04999999999999993,209.5240000000004,269.38771428571425
18,0.9,189.2872,1003.7,180.2857,83.12, -,8.770906,0.050000000000000044,209.52399999999935,276.8705714285714
19,0.95,203.0447,1003.2,193.381,83.12, -,8.770906,0.04999999999999993,261.9060000000005,262.17685714285705
20,1.0,225.0678,1002.4,214.3333,83.12, -,8.770906,0.050000000000000044,419.04599999999976,232.51714285714291
21,1.05,236.0855,1002.0,224.8095,83.12, -,8.770906,0.050000000000000044,209.52399999999992,232.78914285714276
22,1.1,252.6171,1001.4,232.7619,83.12, -,8.770906,0.050000000000000044,159.04799999999952,218.09514285714295
23,1.15,269.1584,1000.8,240.7143,83.12, -,8.770906,0.04999999999999982,159.0480000000008,218.36714285714282
24,1.2,288.4659,1000.1,251.2857,83.12, -,8.770906,0.050000000000000044,211.42799999999946,181.36057142857138
25,1.25,305.023,999.5,256.619,83.12, -,8.770906,0.050000000000000044,106.66600000000064,189.2517142857143
26,1.3,324.3508,998.8,269.8095,83.12, -,8.770906,0.050000000000000044,263.8099999999995,189.38771428571437
27,1.35,343.6896,998.1,277.8095,83.12, -,8.770906,0.050000000000000044,159.99999999999986,204.62571428571428
28,1.4,365.8039,997.3,291.0476,83.12, -,8.770906,0.04999999999999982,264.76200000000046,204.76200000000003
29,1.45,385.1662,996.6,299.0476,83.12, -,8.770906,0.050000000000000044,159.99999999999986,219.86399999999983
30,1.5,410.0754,995.7,312.3333,82.94, -,8.770906,0.050000000000000044,265.71400000000017,190.20428571428562
31,1.55,429.463,995.0,322.9524,82.94, -,8.770906,0.050000000000000044,212.38199999999986,197.8231428571428
32,1.6,448.8616,994.3,333.5714,82.94, -,8.770906,0.050000000000000044,212.37999999999923,190.47628571428552
33,1.65,468.2713,993.6,336.381,82.94, -,8.770906,0.04999999999999982,56.19199999999998,190.6122857142857
34,1.7,490.4666,992.8,347.0476,82.94, -,8.770906,0.050000000000000044,213.33200000000014,168.29942857142834
35,1.75,509.9001,992.1,357.7143,82.94, -,8.770906,0.050000000000000044,213.33399999999963,168.5714285714286
36,1.8,532.1226,991.3,365.7619,82.94, -,8.770906,0.050000000000000044,160.95200000000077,168.84371428571436
37,1.85,557.1396,990.4,371.2381,82.94, -,8.770906,0.050000000000000044,109.52399999999888,191.56457142857153
38,1.9,579.3947,989.6,381.9524,82.94, -,8.770906,0.04999999999999982,214.2860000000015,169.52399999999997
39,1.95,601.6627,988.8,392.6667,82.94, -,8.770906,0.050000000000000044,214.2859999999994,185.03399999999988
40,2.0,626.7309,987.9,403.4286,82.94, -,8.770906,0.050000000000000044,215.2380000000003,185.44228571428553
41,2.05,651.8194,987.0,406.381,82.94, -,8.770906,0.04999999999999982,59.047999999999305,208.4354285714283
42,2.1,679.7164,986.0,422.4762,82.94, -,8.770906,0.050000000000000266,321.903999999999,186.12228571428525
43,2.15,704.8441,985.1,430.6667,82.94, -,8.770906,0.04999999999999982,163.8100000000003,186.66657142857125
44,2.2,735.5793,984.0,444.1905,82.94, -,8.770906,0.050000000000000266,270.47599999999846,171.83657142857106
45,2.25,757.95,983.2,447.0952,82.94, -,8.770906,0.04999999999999982,58.09400000000003,179.31971428571413
46,2.3,785.9343,982.2,458.0,82.94, -,8.770906,0.04999999999999982,218.09600000000123,141.90485714285705
47,2.35,811.1406,981.3,463.5714,82.94, -,8.770906,0.050000000000000266,111.42799999999906,149.932
48,2.4,836.364,980.4,469.1429,82.94, -,8.770906,0.04999999999999982,111.43000000000069,112.38085714285735
49,2.45,861.6078,979.5,472.1429,82.94, -,8.770906,0.050000000000000266,59.99999999999968,112.51714285714306
50,2.5,892.4854,978.4,483.1429,82.94, -,8.770906,0.04999999999999982,220.0000000000008,89.79600000000008
51,2.55,917.7711,977.5,483.5238,82.94, -,8.770906,0.04999999999999982,7.617999999999965,82.31314285714289
52,2.6,940.262,976.7,486.4762,82.94, -,8.770906,0.050000000000000266,59.04799999999992,74.96599999999998
53,2.65,962.7679,975.9,489.4286,82.94, -,8.770906,0.04999999999999982,59.04800000000044,67.21085714285722
54,2.7,985.2905,975.1,492.381,82.94, -,8.770906,0.050000000000000266,59.04799999999878,13.74142857142871
55,2.75,1010.644,974.2,495.381,82.94, -,8.770906,0.04999999999999982,60.00000000000021,13.74142857142871
56,2.8,1030.377,973.5,495.6667,82.94, -,8.770906,0.04999999999999982,5.714000000000417,6.258571428571526
