,UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet),DeltaT,EWFeet,NSFeet,EWVel,NSVel,EWVelSmooth,NSVelSmooth,Zenith,TotalV,VERTA,HORZA,VERTASmooth,HORZASmooth,VERTA_NO_GRAVITY,DragA,DragA_Smooth
0,Jun 11 2025 19:09:12.599 UTC,-3.5,2923.9,-3.007609999999996,-23.115629999999996,18,3,0,0,-55,3,0,10,7,-61,4.12,0.9,False,False,False,0.441,,-7852462.489524522,-1096475.9563919986,,,,,,0.0,,,,,,,
1,Jun 11 2025 19:09:12.699 UTC,-3.4,2923.9,-3.007609999999996,-23.115629999999996,18,3,0,0,-146,3,0,10,7,-50,4.12,0.9,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,,,,0.0,0.0,0.0,,,,,
2,Jun 11 2025 19:09:12.799 UTC,-3.3,2923.9,-3.007609999999996,-23.115629999999996,18,3,0,0,-21,3,0,10,7,-50,4.12,0.9,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,,,,0.0,0.0,0.0,,,,,
3,Jun 11 2025 19:09:12.899 UTC,-3.2,2923.9,-3.007609999999996,-23.115629999999996,18,3,0,0,-151,3,0,10,7,-50,4.119,0.9,False,False,False,0.441,0.09999999999999964,-7852462.489524522,-1096475.9563919986,0.0,0.0,,,,0.0,0.0,0.0,,,,,
4,Jun 11 2025 19:09:13.000 UTC,-3.1,2923.9,-3.007609999999996,-23.115629999999996,18,3,0,0,132,3,0,10,7,-50,4.119,0.9,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
5,Jun 11 2025 19:09:13.099 UTC,-3.0,2924.0,-3.007609999999996,-23.115629999999996,18,3,0,0,-100,3,0,10,7,-50,4.119,1.0,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,0.0,-10.416205713991113,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
6,Jun 11 2025 19:09:13.199 UTC,-2.9,2924.0,-3.007609999999996,-23.115629999999996,18,3,0,0,-41,3,0,10,7,-50,4.119,1.0,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,0.0,-4.669280834994944e-14,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
7,Jun 11 2025 19:09:13.299 UTC,-2.8,2924.0,-3.007609999999996,-23.115629999999996,18,3,0,0,42,3,0,10,7,-50,4.119,1.0,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,0.0,0.0,-4.669280834994944e-14,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
8,Jun 11 2025 19:09:13.399 UTC,-2.7,2924.0,-3.0076299999999954,-23.115629999999996,18,3,0,0,-166,3,0,10,7,-50,4.119,1.0,False,False,False,3.7677,0.09999999999999964,-7852462.489524522,-1096483.2477359984,0.0,-72.91343999793779,0.0,-4.669280834994944e-14,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
9,Jun 11 2025 19:09:13.499 UTC,-2.6,2924.0,-3.007609999999996,-23.115629999999996,18,3,0,0,-35,3,0,10,7,-50,4.119,1.0,False,False,False,0.441,0.10000000000000009,-7852462.489524522,-1096475.9563919986,0.0,72.91343999793746,0.0,-4.669280834994944e-14,,0.0,0.0,0.0,0.0,0.0,32.2,32.2,
