"Symbol";"Value";"Unit";
"SIDESTACK_BOM";"Yes";"";
"PCB_MOUNT_BOM";"PC Tail / Throughboard";"";
"FLAM_BOM";"UL94V-0";"";
"SUPPLIER";"HARWIN";"";
"ORIENTATION_BOM";"Vertical";"";
"CONTSURF_BOM";"Gold";"";
"TraceParts.PartNumber";"34-04072025-091289";"";
"NO_OF_ROWS_BOM";"2";"";
"NO_OF_CONT_BOM";"40";"";
"OPTEMP_BOM";"-55°C to +105°C";"";
"TAIL_BOM";"2.29mm";"";
"DESIGN";"PC/104 Non-stackthrough Connector, 2.54mm (0.1"") Pitch DIL, gold (hi-temp mould), 20+20 contacts";"";
"PITCH_BOM";"2.54mm";"";
"TraceParts.PartTitle";"INDESS - M20 and M22 series connectors";"";
"GENDER_BOM";"Female/Socket/Jack";"";
"TraceParts.PartLanguage";"en";"";
"BASE_MAT_BOM";"-";"";
"TERMIN_BOM";"Gold";"";
"REFERENCE";"M20-6112045";"";
"TraceParts.PartVersion";"1.0.3";"";
"TRACEPARTS";"TRACEPARTS";"";
"END_STACK_BOM";"No";"";
"HOUSING_BOM";"Polyamide (Nylon) 6T";"";
"PACK_BOM";"Tube";"";
"HEIGHT_BOM";"11.05mm";"";
"TraceParts.InstanceId";"34-04072025-091289C4KXHM99JA3MK6AURO32S3OBS";"";
