MachNumber___,x_DragCoefficient___
1E-15,0.961
0.000678,0.681
0.003,0.466
0.007,0.409
0.01,0.382
0.013,0.368
0.016,0.355
0.02,0.346
0.023,0.338
0.026,0.332
0.029,0.327
0.033,0.322
0.036,0.318
0.04,0.316
0.043,0.316
0.046,0.316
0.05,0.316
0.053,0.316
0.056,0.316
0.059,0.316
0.063,0.317
0.066,0.317
0.069,0.317
0.073,0.317
0.076,0.317
0.077,0.317
0.077,0.317
0.077,0.317
0.077,0.317
0.077,0.317
0.078,0.317
0.078,0.317
0.078,0.317
0.078,0.317
0.078,0.317
0.079,0.317
0.079,0.317
0.079,0.317
0.079,0.317
0.08,0.317
0.08,0.317
0.08,0.317
0.081,0.317
0.081,0.317
0.082,0.317
0.082,0.317
0.083,0.317
0.083,0.317
0.083,0.317
0.084,0.317
0.085,0.317
0.085,0.317
0.086,0.317
0.086,0.317
0.086,0.317
0.087,0.317
0.088,0.317
0.089,0.317
0.089,0.317
0.089,0.317
0.09,0.317
0.091,0.317
0.092,0.317
0.093,0.317
0.093,0.317
0.093,0.317
0.094,0.317
0.095,0.317
0.096,0.318
0.096,0.317
0.097,0.317
0.098,0.317
0.099,0.317
0.1,0.317
0.101,0.318
0.101,0.317
0.102,0.317
0.103,0.317
0.104,0.317
0.105,0.317
0.106,0.318
0.107,0.318
0.108,0.318
0.109,0.318
0.109,0.318
0.11,0.318
0.111,0.318
0.112,0.318
0.113,0.318
0.115,0.318
0.116,0.318
0.117,0.318
0.118,0.318
0.119,0.318
0.12,0.318
0.121,0.318
0.121,0.318
0.123,0.318
0.124,0.318
0.125,0.318
0.126,0.318
0.127,0.318
0.129,0.318
0.13,0.318
0.131,0.318
0.132,0.318
0.134,0.319
0.135,0.319
0.136,0.319
0.137,0.319
0.139,0.319
0.139,0.319
0.14,0.319
0.141,0.319
0.143,0.319
0.144,0.319
0.145,0.319
0.146,0.319
0.148,0.319
0.149,0.319
0.15,0.319
0.152,0.319
0.153,0.319
0.154,0.319
0.156,0.32
0.156,0.319
0.157,0.319
0.158,0.32
0.16,0.32
0.161,0.32
0.163,0.32
0.164,0.32
0.165,0.32
0.167,0.32
0.168,0.32
0.169,0.32
0.171,0.32
0.172,0.32
0.174,0.321
0.174,0.32
0.175,0.32
0.176,0.32
0.178,0.32
0.179,0.321
0.181,0.321
0.182,0.321
0.183,0.321
0.185,0.321
0.186,0.321
0.188,0.321
0.189,0.321
0.191,0.321
0.192,0.322
0.192,0.321
0.193,0.321
0.195,0.321
0.196,0.321
0.198,0.321
0.199,0.322
0.201,0.322
0.202,0.322
0.204,0.322
0.205,0.322
0.206,0.322
0.208,0.322
0.209,0.322
0.211,0.323
0.211,0.322
0.212,0.322
0.214,0.322
