MachNumber___,x_DragCoefficient___
0,0.1963
0.01,0.203950141
0.02,0.210386566
0.03,0.215734193
0.04,0.220108837
0.05,0.223617642
0.06,0.226359499
0.07,0.228425456
0.08,0.229899116
0.09,0.230857027
0.1,0.231369063
0.11,0.231498791
0.12,0.231303834
0.13,0.230836217
0.14,0.23014271
0.15,0.229265157
0.16,0.228240794
0.17,0.227102563
0.18,0.22587941
0.19,0.224596575
0.2,0.223275872
0.21,0.221935963
0.22,0.220592613
0.23,0.219258947
0.24,0.217945685
0.25,0.216661377
0.26,0.21541262
0.27,0.214204274
0.28,0.213039659
0.29,0.211920748
0.3,0.210848347
0.31,0.209822269
0.32,0.208841492
0.33,0.207904313
0.34,0.207008491
0.35,0.206151372
0.36,0.205330021
0.37,0.204541324
0.38,0.203782096
0.39,0.203049172
0.4,0.202339488
0.41,0.201650154
0.42,0.200978517
0.43,0.200322212
0.44,0.199679204
0.45,0.199047823
0.46,0.198426787
0.47,0.19781521
0.48,0.197212611
0.49,0.196618902
0.5,0.196034375
0.51,0.195459672
0.52,0.194895749
0.53,0.194343831
0.54,0.193805355
0.55,0.1932819
0.56,0.192775115
0.57,0.192286631
0.58,0.191817964
0.59,0.19137041
0.6,0.190944928
0.61,0.190542015
0.62,0.190161568
0.63,0.189802742
0.64,0.18946379
0.65,0.189141901
0.66,0.188833021
0.67,0.188531671
0.68,0.188230748
0.69,0.187921324
0.7,0.187592427
0.71,0.187230817
0.72,0.186820753
0.73,0.186343744
0.74,0.185778299
0.75,0.185099658
0.76,0.18427952
0.77,0.183285758
0.78,0.182082121
0.79,0.180627937
0.8,0.178877792
0.81,0.178877792
0.82,0.178877792
0.83,0.178877792
0.84,0.178877792
0.85,0.178877792
0.86,0.178877792
0.87,0.178877792
0.88,0.178877792
0.89,0.178877792
0.9,0.178877792
0.91,0.178877792
0.92,0.178877792
0.93,0.178877792
0.94,0.178877792
0.95,0.178877792
0.96,0.178877792
0.97,0.178877792
0.98,0.178877792
0.99,0.178877792
1,0.178877792
